ティッカーシンボル,持株数,資産額
spxl,493,36802.4507522583
zi,54,2452.679901123047
plug,95,6321.300086975098
rprx,42,2152.5
gdrx,58,2567.079902648926
ai,15,2077.5
現金,,21231.395748590956
